,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
3118,CBax8SEzhczFs61Et6fRzw,Gary Kramer Guitar Cellars,wineries,Wineries,35.6233139038086,-120.686912536621,825 Riverside Ave,Paso Robles,CA,93446
3119,8EA0mkxAUMJfF9N2Z61seg,Shale Oak Winery,wineries,Wineries,35.5659409,-120.7519531,3235 Oakdale Rd,Paso Robles,CA,93446
3120,9HlSuIpmc0i5biE-m_1a9g,Hearst Ranch Winery- San Simeon,wineries,Wineries,35.643636,-121.191725,442 Slo San Simeon Rd,San Simeon,CA,93452
3121,PmjtV60MNdKpx0jYQGgfNQ,JUSTIN Vineyards & Winery,wineries,Wineries,35.65791,-120.90498,11680 Chimney Rock Rd,Paso Robles,CA,93446
3122,lggyfCHeJVnuJn8-z1lykg,Eberle Winery,wineries,Wineries,35.6497902982618,-120.628463281778,3810 Hwy 46 E,Paso Robles,CA,93446
3123,5NYS8oWsa4WONtpn5jswNQ,Pioneer Day,festivals,Festivals,35.635435,-120.687028,2010 Riverside Ave,Paso Robles,CA,93446
3124,IYfJM6DW8gcjHrQYzz10wg,Vina Robles Vineyards & Winery,wineries,Wineries,35.646695216791,-120.629968643188,3700 Mill Rd,Paso Robles,CA,93446
3125,DJZGqTqwx1SHLctA4qKETQ,US Post Office,postoffices,Post Offices,35.6203855,-120.6893974,800 6Th St,Paso Robles,CA,93446
3126,fVuAtTxb51Xdw_nuNVMx4g,Estrella Warbird Museum,museums,Museums,35.6641464233398,-120.619766235352,4251 Dry Creek Rd,Paso Robles,CA,93446
3127,kkJju13ea9uvqgcp-No3AQ,Pioneer Museum,museums,Museums,35.6354332,-120.687021,2010 Riverside Ave,Paso Robles,CA,93446
3128,Om7rjfdQU0pWgrJBSNpyCA,Paso Robles Children's Museum,childrensmuseums,Children's Museums,35.6279411,-120.6922836,623 13th St,Paso Robles,CA,93446
3129,wBMU6F3y9ppNDWY8mdPYnw,Morro Bay Maritime Museum,museums,Museums,35.370723619222,-120.855630062299,1210 Embarcadero,Morro Bay,CA,93442
3130,K_6YXxHDDouTJ1DjC1gD9g,Rios-Caledonia Historic Adobe Museum and Gift Shop,museums,Museums,35.7431314020444,-120.697425704009,700 S Mission St,San Miguel,CA,93451
3131,N42003CjETxqxZ-Z_a6a6A,Mission San Miguel,churches,Churches,35.74435,-120.69788,775 Mission St,San Miguel,CA,93451
3132,fxKUEOWvsvxxozXEl9vc4w,Camp Roberts Historical Museum,museums,Museums,35.795235,-120.750309,114 New Mexico Ave,San Miguel,CA,93451
3133,fCvKlJJEYU9EqeUsKbWaTQ,Morro Bay Skateboard Museum,museums,Museums,35.365717,-120.852525,783 Market Ave,Morro Bay,CA,93442
3134,oZ6u4VK0Fr0mSr821Xg6OQ,Atascadero Historical Museum,museums,Museums,35.4901905,-120.6671834,6600 Lewis Ave,Atascadero,CA,93422
3135,FGetK6YxXNmaEMer0qnJzA,Steinbeck Vineyards & Winery,wineries,Wineries,35.640177102041,-120.589870842575,5940 Union Rd,Paso Robles,CA,93446
3136,SxbRNpex5sCXLK5SgNB1pw,Deep Submergence Rescue Vehicle,museums,Museums,35.3703117370605,-120.855712890625,1040-1062 Embarcadero,Morro Bay,CA,93442
3137,gRDKmckn3ZwuwBBTZO17og,Sculpterra Winery & Vineyards,wineries,Wineries,35.6057591093625,-120.611558150923,5015 Linne Rd,Paso Robles,CA,93446
3138,VxRQbS78jqjSz76tVJTQ_A,Morro Bay,landmarks,Landmarks & Historical Buildings,35.367202,-120.84564817,695 Harbor St,Morro Bay,CA,93442
3139,7ddPTdoR4FFBDiFEQur5Qw,Faces of Freedom Memorial,museums,Museums,35.4687602072954,-120.669896677136,9029 Morro Rd,Atascadero,CA,93422
3140,l6GjhyJBqr3JQvsnJFTgyQ,Atascadero City Hall,landmarks,Landmarks & Historical Buildings,35.4899051660293,-120.667135742038,6500 Palma Ave,Atascadero,CA,93422
3141,vC-vHXiw7DI5cBY1qtlllQ,Paso Robles Historical Society Carnegie Library,landmarks,Landmarks & Historical Buildings,35.6265951,-120.69011,800 12th St,Paso Robles,CA,93446
3142,G_Il3dzFb2vlpYF3RtH1xg,Morro Bay Estuary Nature Center,arts,Arts & Entertainment,35.3642853754896,-120.852992302326,601 Embarcadero,Morro Bay,CA,93442
3143,96UkVJT54aq4pkzXYnP4gw,Camp Roberts,landmarks,Landmarks & Historical Buildings,35.798324,-120.756347,Ave 22,San Miguel,CA,93451
3144,CBax8SEzhczFs61Et6fRzw,Gary Kramer Guitar Cellars,wineries,Wineries,35.6233139038086,-120.686912536621,825 Riverside Ave,Paso Robles,CA,93446
3145,7dafKtyMCgiq6c7ouH3wjA,David J Rogers Fine Art Gallery,galleries,Art Galleries,35.36613,-120.84863,407 Morro Bay Blvd,Morro Bay,CA,93442
3146,lggyfCHeJVnuJn8-z1lykg,Eberle Winery,wineries,Wineries,35.6497902982618,-120.628463281778,3810 Hwy 46 E,Paso Robles,CA,93446
3147,8EA0mkxAUMJfF9N2Z61seg,Shale Oak Winery,wineries,Wineries,35.5659409,-120.7519531,3235 Oakdale Rd,Paso Robles,CA,93446
3148,5NYS8oWsa4WONtpn5jswNQ,Pioneer Day,festivals,Festivals,35.635435,-120.687028,2010 Riverside Ave,Paso Robles,CA,93446
3149,IYfJM6DW8gcjHrQYzz10wg,Vina Robles Vineyards & Winery,wineries,Wineries,35.646695216791,-120.629968643188,3700 Mill Rd,Paso Robles,CA,93446
3150,DJZGqTqwx1SHLctA4qKETQ,US Post Office,postoffices,Post Offices,35.6203855,-120.6893974,800 6Th St,Paso Robles,CA,93446
3151,PmjtV60MNdKpx0jYQGgfNQ,JUSTIN Vineyards & Winery,wineries,Wineries,35.65791,-120.90498,11680 Chimney Rock Rd,Paso Robles,CA,93446
