zip_code,life_exp,count
92677,82.32142857,138
92679,82.18333333,192
92683,82.52142857,477
92688,81.7,197
92691,82,157
92692,82.82727273,182
92693,80.6,163
92694,86.7,158
92701,80.73333333,267
92703,81.32,411
92704,81.525,339
92705,80.4,266
92706,82.17142857,428
92707,80.86666667,233
92708,80.94,370
92728,82.8,168
92780,81.51,239
92781,78.5,168
92782,81.8,244
92799,79.4,168
92801,79.18333333,543
92802,82.5,506
92804,80.71428571,533
92805,79.04444444,522
92806,80.98181818,498
92807,82.1625,431
92808,85.13333333,293
92809,81.5,0
92811,81,168
92821,82.68333333,555
92822,81.2,168
92823,85.7,542
92825,75.2,168
92831,80.5,542
92832,81.2,549
92833,80.98333333,547
92834,79.7,168
92835,82.71428571,553
92836,82.6,168
92837,76.2,168
92840,81.8,481
92841,80.01428571,505
92842,82.6,168
92843,81.31666667,463
92844,81.41666667,482
92845,81.2,517
92846,78.8,168
92860,79.72857143,255
92861,83.8,413
92863,80.1,168
92865,79.96,498
92866,80.93333333,410
92867,82.95714286,469
92868,79.4,466
92869,82.58571429,280
92870,82.87777778,542
92877,80.8,51
92879,79.52,258
92880,80.51111111,266
92881,81.7,260
92882,80.41875,263
92883,82.92,258
92886,83.59,501
92887,83.93333333,318
93001,78.64444444,86
93003,81.52222222,87
93004,80.81666667,53
93006,81,46
93007,79.3,46
93009,79.6,55
93010,81.17,51
93012,84.18,58
93013,83.7,83
93015,80.3,60
93021,81.98888889,64
93022,81.1,86
93023,82.6,87
93030,79.2875,51
93031,80.2,46
93032,79.7,46
93033,79.8,50
93035,79.94,51
93036,81.21666667,53
93041,79.9,49
93060,79.575,54
93063,80.99,208
93065,80.72142857,109
93067,81.6,73
93094,80.5,46
93099,80.8,46
93101,81.42,79
93103,82,80
93105,83.8,76
93108,84.7,67
93109,82.26,80
93110,82.05,76
93111,82.35,67
93117,81.31666667,68
93190,78,62
93201,77.2,7
93203,77.63333333,22
93204,79.5,1
93205,69.1,8
93210,80.2,1
93212,76.52857143,10
93215,79.72,14
93218,78.9,8
93219,78.65,8
93220,81.9,24
93221,78.1,12
93223,77.7,12
93225,78.25,9
93230,79.325,20
93232,77.1,6
93234,79.1,6
93235,83,13
93237,78.8,6
93241,79.1,23
93242,81.8,33
93245,78.03333333,20
93247,78.08,8
93250,77.03333333,17
93251,74.3,2
93252,73.5,2
93254,82.6,7
93257,76.04444444,8
93258,75.85,8
93263,78.4,16
93265,84,3
93267,75.9,8
93268,74.6,14
93272,82.9,11
93274,77.22,12
93277,77.18888889,13
93278,77.4,7
93279,76.1,13
93280,78.3,15
93283,73.9,5
93286,79.5,9
93290,81.6,0
93291,80.96666667,14
93292,76.93333333,13
93301,73.3,18
93304,75.43,18
93305,73.8,17
93306,76,18
93307,75.4,17
93308,76.22222222,15
93309,76.90833333,18
93311,78.6,17
93312,78.775,16
93313,77.8,19
93314,80.71428571,0
93380,75.1,23
93385,71.5,23
93386,75,23
93387,75.9,23
93390,80.4,23
93401,79.28,51
93402,82.85,52
93406,81.4,50
93412,76.2,50
93420,80.82,42
93422,81.56666667,53
93423,77.2,57
93426,82.3,29
93428,80.7,38
93430,83.1,58
93434,82.9,37
93435,81.9,53
93436,77.89,36
93441,82,56
93442,76.3,57
93444,80.95,39
93445,80,42
93446,79.41666667,51
93448,81.75,50
93451,78.2,21
93453,80.6,1
93454,80.29230769,40
93455,81.51428571,44
93456,81.8,32
93457,81.2,41
93458,79.975,43
93463,85,75
93464,85.8,67
93465,82.25,53
93483,79.5,50
93501,76.63333333,21
93504,76.6,11
93505,74,10
93510,78.7,190
93514,81.16666667,3
93516,75.9,11
93526,79.5,8
93532,79.53333333,24
93534,74.31111111,18
93535,76.17272727,19
93536,78.37777778,32
93543,80.25,86
93544,75.5,77
93546,81.5,6
93549,78.9,6
93550,78.28125,98
93551,80.89,45
93552,77.51666667,86
93553,78.5,131
93555,76.84,7
93560,75.7,23
93561,77.275,11
93584,74.9,443
93586,82.6,443
93591,76.03333333,21
93601,81,15
93602,81.2,21
93604,79.5,15
93608,83.7,2
93609,80.4,31
93610,75.95,8
93611,81.8,31
93612,77.2,29
93613,73.5,31
93614,77.66666667,26
93615,77.7,13
93616,80.8,32
93618,79.05,29
93619,80.37142857,0
93620,76.85,8
93621,72.6,4
93622,77.8,2
93630,80,28
93631,80.01666667,34
93634,80,8
93635,78.85,6
93636,78.1,0
93637,78.7,27
93638,78.46666667,29
93639,75,28
93640,77.2,5
93644,75.3,15
93646,82.8,27
93647,79.4,13
93648,80.25,34
93653,77.8,20
93654,81.92,32
93656,81.2,30
93657,79.2,31
93662,79.025,34
93665,80.3,6
93668,78.5,15
93669,78.1,12
93670,78.7,13
93673,82.6,27
93701,72.85,28
93702,75.03333333,32
93703,75.66666667,28
93704,78.6,30
93705,77.98571429,29
93706,76.15714286,32
93710,79.075,30
93711,80.8,30
93716,70.4,32
93720,81.5125,31
93721,75.3,31
93722,78.33571429,29
93723,81.9,0
93725,77.3,32
93726,76.075,29
93727,78.51666667,32
93728,73.15,29
93730,83.66666667,0
93737,82.7,0
93747,75.6,32
93779,71.8,32
93790,77.8,32
93901,79.55,70
93902,73.3,1
93905,78.76363636,70
93906,79.98888889,73
93907,75,74
93908,79.95,68
93920,86.4,4
93923,82.03333333,58
93924,85.7,60
93925,80.4,65
93926,81.9,61
93927,81.63333333,5
93930,81,1
93933,81.15,69
93940,84,66
93943,83,1
93950,83.975,65
93953,85.9,66
93954,79.1,4
93955,79.7375,68
93960,80.16666667,13
93962,79.2,68
94002,83.53333333,408
94010,82.95,400
94011,82.7,394
94014,82.91,408
94015,82.33,394
94017,81.3,394
94019,82.2,380
94022,85.15,121
94023,86.4,75
94024,85.64285714,105
94025,83.98333333,414
94026,81.03333333,394
94027,84.4,414
94030,84.05,403
94037,86.2,379
94040,83.5125,113
94041,82,118
94042,81.9,75
94043,82.73333333,124
94044,81.05714286,381
94060,84.5,83
94061,81.83333333,413
94062,84.55,411
94063,79.53333333,413
94064,77.4,394
94065,81.2,409
94066,81.42222222,398
94070,82.93,409
94080,81.76363636,404
94083,80.85,394
94085,80.74,107
94086,84.44285714,106
94087,84.14,103
94088,81.6,75
94089,82.125,109
94102,76.36,394
94103,80.875,398
94107,80.31666667,402
94108,82.8,394
94109,80.7,392
94110,80.46923077,400
94111,82.05,394
94112,83.05,404
94114,81.51428571,396
94115,81.62,392
94116,84.53,387
94117,80.54,392
94118,85.15,389
94121,85.73333333,381
94122,85.25454545,387
94123,83.375,391
94124,79.14,413
94127,84.73333333,394
94129,78.1,380
94130,75.7,395
94131,80.03333333,397
94132,83.18571429,392
94133,83.9,393
94134,79.59090909,413
94301,84.57142857,412
94303,81.7,400
94304,84.9,265
94306,85.02,314
94401,81.23333333,395
94402,84.36666667,395
94403,83.36363636,403
94404,83.87,406
94501,80.15714286,415
94502,83.75,418
94503,80.3,363
94505,81.1,0
94507,84,376
94509,76.62,42
94510,79.9,381
94512,80,46
94513,80.43,42
94514,80.7,27
94515,84.85,103
94517,81.4,247
94518,81.2,364
94519,80.325,355
94520,78.72222222,362
94521,80.63333333,339
94523,81.68888889,369
94526,82.5,395
94530,82.725,371
94531,77.7,41
94533,76.95294118,74
94534,80.41428571,82
94536,83.06666667,399
94537,85,377
94538,81.47692308,204
94539,85.07777778,112
94541,78.79285714,422
94542,80.8,427
94544,79.78125,425
94545,80.55714286,427
94546,80.44,419
94547,82.06666667,378
94549,84.7125,367
94550,81.01,96
94551,81.07777778,377
94552,82.33333333,422
94553,79.09,374
94555,83.275,419
94556,86.05,403
94558,81.175,113
94559,81.51666667,104
94560,83.25,413
94561,79.46666667,46
94562,83.5,105
94563,84,379
94564,81.4,375
94565,78.09411765,43
94566,83.45,134
94567,81.8,95
94568,82.12857143,408
94571,76.2,49
94572,83.9,384
94574,83,104
94575,83.5,406
94577,80.98333333,420
94578,79.04,415
94579,82.025,419
94580,81.825,423
94582,83.875,0
94583,84.8,406
94585,77.775,76
94587,82.47857143,423
94588,82.65714286,318
94589,78.26666667,378
94590,76.14166667,386
94591,79.87857143,389
94595,83,364
94596,83.05,366
94597,85.2,406
94598,83.03333333,365
94601,77.38333333,416
94602,80.06666667,413
94603,76.01666667,419
94604,81.9,377
94605,77.05833333,418
94606,77.87272727,414
94607,77.58,402
94608,78.3,397
94609,81.05,399
94610,82.60909091,406
94611,83.67142857,402
94612,78.7125,406
94613,82.3,415
94614,74.6,422
94618,83.625,397
94619,80.5625,414
94620,79.7,377
94621,75.15,418
94623,76.6,377
94662,80.9,377
94702,80.11428571,383
94703,80.25,387
94704,85.56666667,387
94705,85.05,395
94706,82.85,370
94707,86.4,370
94708,84.9,370
94709,84.2,372
94710,77.6,372
94712,77,377
94720,80.4,388
94801,76.475,368
94802,75,406
94803,77.5,372
94804,78.1,368
94805,80.55,368
94806,79.89,373
94850,80.5,406
94901,81.7,356
94903,82.7,365
94904,83.125,357
94912,85.9,351
94915,79.5,401
94920,85.875,358
94922,82.6,76
94924,84.2,337
94927,80.9,75
94928,78.78,114
94929,86.9,59
94930,85.3,356
94931,81.13333333,113
94939,81.5,357
94941,83.32,353
94942,84,351
94945,81.46666667,413
94947,82.08,411
94949,84.075,399
94952,80.64285714,110
94954,80.81666667,118
94960,85.975,356
94965,83.95,354
94972,84.7,91
94976,83.3,351
94999,83.1,111
95003,81.75,98
95004,82.96666667,80
95005,78.4,94
95008,81.1375,102
95010,81.4,107
95011,81.3,75
95012,80.5,74
95014,86.52,100
95018,85.35,94
95019,84.2,92
95020,80.45555556,47
95021,83.6,41
95023,81.54444444,23
95030,83.85,95
95031,79.7,75
95032,83.225,98
95033,84.15,95
95035,83.03076923,101
95036,82.1,100
95037,80.84444444,63
95039,79.9,76
95045,86.8,73
95046,85.1,55
95050,81.18,104
95051,82.52727273,102
95052,81.1,75
95054,80.55,105
95056,82.8,75
95060,81.92,94
95062,79.43333333,105
95065,78.55,102
95066,83.25,96
95070,83.58,98
95073,83.03333333,101
95076,82.03076923,93
95077,79.6,100
95110,80.95,105
95111,81.86666667,101
95112,81.8875,106
95113,80.76666667,106
95116,81.12727273,106
95117,81.025,104
95118,82.4,97
95119,81.2,97
95120,83.7625,95
95121,83.36666667,102
95122,80.53333333,104
95123,82.5,97
95124,81.35,97
95125,80.775,103
95126,81.2,105
95127,83.12307692,104
95128,81.36,105
95129,83.63333333,103
95130,81.5,102
95131,88.5,105
95132,83.43333333,103
95133,83.84,106
95135,83.82,101
95136,81.7,98
95138,84.3,97
95139,83.45,97
95140,84.4,94
95148,83.17142857,104
95150,84.7,75
95155,82.4,75
95160,81.5,75
95173,83.1,75
95192,80.9,75
95202,68.5,21
95203,73.15,21
95204,75.925,22
95205,74.1125,20
95206,77.30769231,20
95207,76.42727273,16
95208,70.9,20
95209,77.44285714,16
95210,76.74166667,16
95212,77.8,19
95215,76.82,20
95219,81.06,15
95222,82.7,26
95224,80,23
95225,84.9,33
95228,79.5,30
95230,79.1,35
95237,79.2,22
95240,76.92222222,16
95241,75.6,20
95242,79.98333333,16
95246,75.7,27
95248,78.8,27
95252,79.1,38
95258,80,19
95269,73.2,20
95301,79.48888889,13
95303,80.3,18
95305,81.3,19
95306,78.1,15
95307,76.18333333,16
95315,78.8,19
95317,79,8
95320,81.2,20
95321,77.85,16
95322,77.8,7
95326,79.4,17
95329,79.7,23
95330,79.125,18
95333,79.5,9
95334,80,19
95336,79.72,20
95337,76.53333333,20
95338,77.1,17
95340,77.5125,9
95341,75.78,10
95343,81.2,10
95348,76.26,9
95350,76.75,15
95351,76.87,16
95353,73,16
95354,75.75,16
95355,77.27,16
95356,78.8,16
95357,78.2,16
95358,77.92857143,15
95360,80.2,15
95361,78.46,20
95363,78.55,17
95366,81.53333333,20
95367,75.96666667,15
95368,75.7,16
95370,78.38,19
95373,78.4,18
95376,78.44545455,29
95377,79.4,29
95379,85.9,18
95380,79.18888889,18
95381,75.9,16
95382,78.66,17
95385,77.2,16
95386,77.2,21
95387,80.9,16
95388,77.53333333,17
95401,79.63636364,108
95403,78.98,104
95404,81.84285714,108
95405,79.1,107
95407,78.67142857,110
95409,79.625,107
95418,76.9,14
95422,67.95,37
95423,72.5,11
95424,72.8,35
95425,75.9,65
95427,78.9,17
95428,80.5,2
95437,79.15,12
95439,79.35,104
95441,81.4,74
95442,82.25,119
95445,81.8,8
95446,80.35,73
95448,84.4,94
95449,77.2,30
95451,76.8,40
95452,80.7,108
95453,75,17
95456,82.5,16
95457,81.75,48
95461,81.9,94
95464,73,14
95469,78.5,11
95470,78.3,11
95472,82.56,104
95476,81.08571429,118
95482,79.7,12
95485,77.6,12
95486,79.9,63
95490,77,16
95492,81.68,100
95494,84,21
95501,75.15,22
95503,76.175,22
95514,79.3,2
95519,78.4,21
95521,79.24,23
95531,75.15,5
95532,78,6
95534,79.7,22
95536,79.55,17
95540,75.5,17
95546,76.7,11
95547,78.1,17
95548,77.1,6
95549,82.1,22
95550,80.4,22
95554,83,3
95555,80.1,11
95558,81.5,5
95567,79.7,6
95568,78.2,2
95570,78.7,18
95589,78.8,0
95602,82.6,57
95603,78.23333333,56
95604,75.2,34
95605,77.2,61
95606,83.7,42
95608,78.04166667,74
95610,77.39090909,71
95612,82.3,55
95616,81.5875,47
95618,82.7,53
95619,77.7,52
95620,80.35,42
95621,78.14,72
95624,80.55833333,67
95625,78.5,69
95628,80.29090909,77
95630,81.77692308,63
95631,81,28
95632,79.65714286,45
95635,86.85,50
95636,76.4,15
95638,80.75,54
95640,79.2,44
95641,82.2,35
95645,83.3,45
95646,79.8,18
95648,80.125,62
95650,84,59
95652,78.4,69
95658,80.25,60
95660,75.475,69
95661,78.975,65
95662,79.65,69
95663,78.4,61
95665,76.8,24
95667,80.63333333,52
95670,78.70833333,80
95672,81.3,63
95673,76.02,67
95674,80.3,58
95677,79.35714286,60
95678,79.19090909,68
95682,80.72,63
95685,84.4,37
95687,80.8,69
95688,80.48,77
95689,78.06666667,24
95690,78.4,38
95691,78.32,63
95692,79.4,51
95693,81.4,70
95694,81,63
95695,81.08888889,42
95696,76.1,67
95701,81.8,25
95709,79.4,35
95712,80.2,27
95713,84.7,29
95722,80.8,46
95726,78.25,15
95735,81.2,25
95742,80.18,68
95746,82.3,63
95747,81.54285714,71
95757,81.55,0
95758,81.1875,66
95762,83.61428571,64
95763,77,66
95765,82.62857143,64
95776,80.8,49
95798,69.2,62
95811,78.76666667,0
95813,72.3,66
95814,77.6,60
95815,75.5,67
95816,77.6,61
95817,76.675,62
95818,80.175,63
95819,82.1,66
95820,77.89230769,66
95821,76.1875,68
95822,79.9,69
95823,78.15294118,68
95824,75.96,67
95825,78.14285714,67
95826,78.95714286,74
95827,77.12,78
95828,77.92857143,68
95829,79.98571429,70
95830,78.3,85
95831,82.1,67
95832,76.03333333,68
95833,80.25,66
95834,78.68,67
95835,81.55,66
95838,73.46,67
95841,75.81428571,71
95842,77.73333333,70
95843,79.24444444,67
95864,80.32,68
95866,74.8,66
95867,68.5,66
95901,74.73333333,22
95915,74.5,8
95917,78.85,23
95918,78.1,22
95926,77.975,19
95927,78.7,19
95928,78.71428571,19
95932,79.26666667,5
95939,82.8,0
95941,76.7,18
95942,86,17
95943,80.8,18
95945,78.86666667,27
95948,76.4,22
95949,79.25,37
95953,78.9,10
95954,76.13333333,18
95958,82.4,21
95959,79.46666667,23
95961,73.55,32
95963,79.84,13
95965,75.51428571,24
95966,75.95,28
95968,75.8,24
95969,76.83333333,20
95971,78,9
95973,79.07142857,18
95975,80.5,34
95977,77.6,36
95979,82.6,3
95981,77.6,19
95982,76.4,9
95987,80.7,2
95988,77.1,11
