,Zip Code,Life Expectancy,Count
89,94523,79.715,379
90,94525,78.77000000000001,400
91,94526,82.275,405
92,94528,85.85,387
93,94530,82.255,371
94,94531,79.02,41
95,94533,78.52,74
96,94534,82.63,82
97,94535,78.74000000000001,61
98,94536,80.91,399
99,94538,79.67500000000001,204
100,94539,83.47,112
101,94541,77.275,422
102,94542,79.35499999999999,427
103,94544,78.25,425
104,94545,78.06,427
105,94546,79.85499999999999,419
106,94547,80.955,382
107,94548,81.09,41
108,94549,82.57,367
109,94550,79.975,96
110,94551,81.74,397
111,94552,82.375,430
112,94553,78.77000000000001,404
113,94555,82.07,419
114,94556,83.08,403
115,94558,78.11,121
116,94559,80.09,108
117,94560,81.015,413
118,94561,76.9325,46
119,94563,84.13,379
120,94564,78.67500000000001,375
121,94565,76.588,43
122,94566,81.755,148
123,94567,82.99000000000001,95
124,94568,80.69999999999999,432
125,94569,78.77000000000001,409
126,94571,76.41250000000001,49
127,94572,80.57666666666667,388
128,94573,80.07,157
129,94574,82.99000000000001,146
130,94575,85.14,422
131,94576,82.99000000000001,136
132,94577,79.365,420
133,94578,78.405,415
134,94579,80.015,419
135,94580,79.615,423
136,94582,85.64,423
137,94583,81.94,428
138,94585,77.39000000000001,76
139,94586,79.975,120
140,94587,80.81,423
141,94588,81.19,338
142,94589,77.57499999999999,378
143,94590,75.08,390
144,94591,79.035,399
145,94592,75.08,394
146,94595,83.66,364
147,94596,82.275,368
148,94597,83.81,422
149,94598,82.69,367
150,94599,78.43666666666667,141
151,94601,76.895,424
152,94602,79.31,419
153,94603,72.805,419
154,94605,75.42,418
155,94606,77.945,422
156,94607,74.34666666666666,412
157,94608,75.205,407
158,94609,75.235,407
159,94610,80.36500000000001,414
160,94611,82.7,404
161,94612,76.105,414
162,94613,80.31,415
163,94618,82.33,399
164,94619,78.97,414
165,94621,73.0,418
166,94702,78.975,385
167,94703,79.43,389
168,94704,81.435,389
169,94705,82.59,397
170,94706,82.005,370
171,94707,83.345,370
172,94708,84.7,370
173,94709,83.38499999999999,372
174,94710,78.975,374
175,94720,81.19,390
176,94801,75.46,368
177,94803,78.3,372
178,94804,75.89500000000001,368
179,94805,79.72,368
180,94806,77.03999999999999,373
181,94850,77.93,422
182,94901,81.59,374
183,94903,81.33,391
184,94904,82.98,375
185,94920,83.9,358
186,94922,81.36500000000001,76
187,94923,81.36500000000001,50
188,94924,81.73,337
189,94925,81.345,367
190,94928,78.645,114
191,94929,81.36500000000001,59
192,94930,82.325,374
193,94931,79.945,113
194,94933,82.325,359
195,94937,81.73,47
196,94938,82.325,359
197,94939,80.88666666666667,373
198,94940,81.73,58
199,94941,82.285,353
200,94945,80.675,427
201,94946,81.73,375
202,94947,80.655,421
203,94949,81.62,417
204,94950,81.73,345
205,94951,79.945,112
206,94952,78.92333333333333,110
207,94954,80.36500000000001,118
208,94956,80.94333333333334,162
209,94957,83.36,398
210,94960,82.09333333333332,374
211,94963,81.10666666666667,370
212,94964,81.36500000000001,370
213,94965,81.17500000000001,388
214,94970,81.73,350
215,94971,81.36500000000001,85
216,94972,81.36500000000001,91
217,94973,82.325,372
218,95002,78.9,118
219,95006,80.36,92
220,95008,80.66999999999999,112
221,95013,82.43,81
222,95014,83.515,128
223,95020,79.8,51
224,95023,78.53,25
225,95030,79.255,95
226,95032,82.82,100
227,95033,78.50333333333333,97
228,95035,82.47,101
229,95037,80.89,69
230,95046,79.8,63
231,95050,80.02000000000001,118
232,95051,81.63499999999999,130
233,95053,80.84,81
234,95054,80.685,123
235,95070,82.92,110
236,95076,79.8,101
237,95110,79.27,129
238,95111,80.0,135
239,95112,79.715,126
240,95113,79.715,130
241,95116,80.60499999999999,130
242,95117,80.88,124
243,95118,80.765,121
244,95119,81.055,111
245,95120,82.885,107
246,95121,81.66499999999999,134
247,95122,80.405,132
248,95123,80.905,117
249,95124,80.66499999999999,105
250,95125,80.955,131
251,95126,80.41,123
252,95127,80.08500000000001,122
253,95128,78.39,127
254,95129,83.175,125
255,95130,81.09,114
256,95131,83.15,117
257,95132,81.155,103
258,95133,82.03999999999999,124
259,95134,78.9,105
260,95135,83.72999999999999,115
261,95136,80.505,132
262,95138,81.465,111
263,95139,81.055,105
264,95140,81.155,96
265,95148,82.06,130
266,95377,81.33,31
267,95391,84.76,31
268,95401,78.61,140
269,95403,79.47,138
270,95404,79.61,132
271,95405,79.975,131
272,95407,77.225,132
273,95409,80.94666666666667,123
274,95412,81.36500000000001,24
275,95419,79.57,86
276,95421,81.36500000000001,48
277,95425,78.91499999999999,69
278,95430,80.84666666666668,61
279,95431,74.445,122
280,95436,79.17333333333333,94
281,95439,79.47,134
282,95441,78.01333333333334,88
283,95442,74.445,123
284,95444,80.985,122
285,95446,76.19,77
286,95448,80.53999999999999,118
287,95450,80.84666666666668,45
288,95452,74.445,112
289,95461,82.34,94
290,95462,76.19,75
291,95465,81.36500000000001,78
292,95471,76.845,79
293,95472,80.985,122
294,95476,79.47666666666667,120
295,95480,79.81,20
296,95486,82.92,67
297,95492,79.94,114
298,95497,81.36500000000001,13
299,95616,79.2,69
300,95618,79.2,75
301,95620,79.34,42
302,95625,78.16499999999999,73
303,95687,78.16499999999999,75
304,95688,78.575,83
305,95690,76.47,38
306,95694,78.575,63
