,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
5047,XPDuiIrh1PZvqo7-jBOXMg,Mariachi Real de San Diego,theater,Performing Arts,32.648478,-116.989095,1784 Hampton Ct,Bonita,CA,91902
5048,5fyWF2ZiqXnEhnSlx3Mq-g,Palm Springs Art Museum,artmuseums,Art Museums,33.8244171142578,-116.550018310547,101 N Museum Dr,Palm Springs,CA,92262
5049,Ld3AC7ErFc6vwoc1kxNQKw,Palm Springs Air Museum,museums,Museums,33.8326756,-116.5050152,745 N Gene Autry Trl,Palm Springs,CA,92262
5050,SUZaGFw0b9Nkjh0oDlWJTw,Western Science Center,museums,Museums,33.707057,-116.9923214,2345 Searl Pkwy,Hemet,CA,92543
5051,X2ZZpH0PCJCGa7hzQ77F-A,Children's Discovery Museum of the Desert,museums,Museums,33.78609,-116.41108,71701 Gerald Ford Dr,Rancho Mirage,CA,92270
5052,DKMykRA6U33EWSHD_AR8zw,Palm Springs Art Museum Architecture and Design Center,artmuseums,Art Museums,33.8190117278128,-116.547592543066,300 S Palm Canyon Dr,Palm Springs,CA,92264
5053,4RDpN1n0x91gP16DaoNKMg,Ruddy's General Store Museum,museums,Museums,33.8207564,-116.5469249,221 S Palm Canyon Dr,Palm Springs,CA,92262
5054,m3i4B-UoWY_hFa-CmUyd4g,Cabot's Pueblo Museum,museums,Museums,33.957945,-116.481509,67616 E Desert View Ave,Desert Hot Springs,CA,92240
5055,O7JUb2DiA-eR-YaliLEWpQ,Palomar Observatory,observatories,Observatories,33.350839,-116.864862,35899 Canfield Rd,Palomar Mountain,CA,92060
5056,gG2YgTIV_BcebPoF_1JZSg,Idyllwild Area Historical Society,museums,Museums,33.74752,-116.71085,54470 N Circle Dr,Idyllwild,CA,92549
5057,W0qy58iMMQkxMutUlyBYsQ,Palm Springs Art Museum - Palm Desert,artmuseums,Art Museums,33.723122,-116.400258,72567 Hwy 111,Palm Desert,CA,92260
5058,ZQIbhKsIWf0tLQZOd6nI-w,Coachella Valley History Museum,museums,Museums,33.72152,-116.22302,82616 Miles Ave,Indio,CA,92201
5059,OPpI1TNzeUnr3yNU8Jrc6Q,Moorten Botanical Garden,gardens,Botanical Gardens,33.80054,-116.54592,1701 S Palm Canyon Dr,Palm Springs,CA,92264
5060,CWkKtUwD-hD32qwHoUE5pA,Cabazon Dinosaurs,museums,Museums,33.920239,-116.772902,50700 Seminole Dr,Cabazon,CA,92230
5061,Xf8nPe84eJxUiN1Tu-GDqQ,Sunnylands Center & Gardens,landmarks,Landmarks & Historical Buildings,33.7803144,-116.4087604,37977 Bob Hope Dr,Rancho Mirage,CA,92270
5062,OHBFjtnC7eg7uNcwPVSZpw,The Funky Bazaar,antiques,Antiques,33.752144,-116.706125,54875 N Circle Dr,Idyllwild,CA,92549
5063,01v9_z036L8_GKZOjIxANw,La Quinta Museum,museums,Museums,33.6752848934201,-116.305746770466,77885 Avenida Montezuma,La Quinta,CA,92253
5064,O-t_KgA0SkgggvruwzGCiQ,Museum of Pinball,arcades,Arcades,33.919182,-116.858939,700 South Hathaway St,Banning,CA,92220
5065,4ppRkKQTTyaYugiMsDHwnA,McCallum Adobe-Cornelia White House Museum,museums,Museums,33.8207564,-116.5469249,221 S Palm Canyon Dr,Palm Springs,CA,92262
5066,0YVjl3ZsBuuba8-TxROGwQ,Hemet Museum,museums,Museums,33.7480431300145,-116.971993960709,100 W Florida Ave,Hemet,CA,92543
5067,eutbsRRvSf7n3tcaMo1kDg,Fingerprints Children's Museum,childrensmuseums,Children's Museums,33.746792,-116.969803,123 S Carmalita St,Hemet,CA,92543
5068,88E8zahGwdNZUUhQBZpMHg,Robolights,galleries,Art Galleries,33.83168,-116.5354,1077 E Granvia Valmonte,Palm Springs,CA,92262
5069,21vg3p_VOy9G51bT8RlUYw,Edward-Dean Museum & Gardens,museums,Museums,33.985517,-116.970816,9401 Oak Glen Rd,Cherry Valley,CA,92223
5070,-50BlauZabAgJzFpNDa7Bg,Victorian Bridal Museum,museums,Museums,33.7484477,-116.9704551,144 N Harvard St,Hemet,CA,92543
5071,XQYplhinkypUykjOWwzVuA,Mr. Rex’s Dinosaur Adventure,childrensmuseums,Children's Museums,33.9209605026563,-116.773803416865,50770 Seminole Dr,Cabazon,CA,92230
5072,IkxSvZ63NvVoX2kLTBKufw,Malki Museum,museums,Museums,33.9486315,-116.8246658,11795 Malki Rd,Banning,CA,92220
5073,SVdWEZrdmat1_n1KVuHCLw,Cafe Aroma,cafes,Cafes,33.7510377,-116.7072401,54750 N Circle Dr,Idyllwild,CA,92549
5074,wHUd-S927OV4kjWaYY4MGQ,San Jacinto Museum,museums,Museums,33.7805433692097,-116.96773477049,695 W Ash St,San Jacinto,CA,92583
5075,xf1YntoGeG_cpdHCsE6LfQ,Faye Sarkowsky Sculpture Garden,gardens,Botanical Gardens,33.7233809518535,-116.399684138596,72-567 Hwy 111,Palm Desert,CA,92260
5076,fJ8khRkkesvIHnUrt9tVaQ,Ricardo Breceda,galleries,Art Galleries,33.4458993441724,-116.886275831212,44450 Highway 79 S,Aguanga,CA,92536
5077,YJCY2XReyKk_PZ-aqAOzGA,Tolerance Education Center,museums,Museums,33.7934672583445,-116.404537673016,35147 Landy Ln,Rancho Mirage,CA,92270
5078,rzVWmQuRZYgz0jcKHEocuw,Palm Springs Art + Design Gallery,galleries,Art Galleries,33.82815,-116.54598,383 N Indian Canyon Dr,Palm Springs,CA,92262
5079,UqPwLcVqXvBKFtPVH-SXQg,Annenberg Theater,theater,Performing Arts,33.8244171142578,-116.550018310547,101 N Museum Dr,Palm Springs,CA,92262
5080,SDfZkQmRR_QrlnzkGVQafw,Palm Springs Historical Society,nonprofit,Community Service/Non-Profit,33.8207564,-116.5469249,221 S Palm Canyon Dr,Palm Springs,CA,92262
5081,HKkh8OObQNXEuAJvI5iWow,Funhouse Haunted Maze,hauntedhouses,Haunted Houses,33.9185734990086,-116.858543698277,700 S Hathaway St,Banning,CA,92220
5082,aargRwJEw2N1j8ogJmVW7Q,Diamond Valley Lake Visitor Center,visitorcenters,Visitor Centers,33.705825,-116.991869,2325 Searl Pkwy,Hemet,CA,92545
5083,zO8cw3JKA2z9TcmWmJHeng,Village Green Historical Landmark,localflavor,Local Flavor,33.8206610354905,-116.547014155474,235 S Palm Canyon Dr,Palm Springs,CA,92262
5084,wo8xTm1DsEG522puQtH2-w,Warnock Fine Arts,galleries,Art Galleries,33.7935299,-116.54592,2065 S Palm Canyon Dr,Palm Springs,CA,92264
5085,uIgGotbNjLsy2oBTo_LQJw,Gilman Ranch Museum,museums,Museums,33.93416,-116.89682,1901 W Wilson St,Banning,CA,92220
5086,u9iwuF7QRqIzieTX6mtoAg,Elena Bulatova Fine Art,galleries,Art Galleries,33.8255377,-116.5466751,232 N Palm Canyon,Palm Springs,CA,92262
5087,cmSFqdkCv-pEenqAe6Ct6Q,Bighorn Golf Club,golf,Golf,33.67884,-116.409042,255 Palowet Dr,Palm Desert,CA,92260
