,Zip Code,Life Expectancy,Count
0,94002,82.55,2
1,94005,80.65,52
2,94010,82.655,2
3,94014,80.65,124
4,94015,81.34,34
5,94019,81.27000000000001,0
6,94020,81.695,0
7,94021,81.695,0
8,94022,83.905,78
9,94024,83.43,58
10,94025,83.22,62
11,94027,83.22,58
12,94028,83.905,22
13,94030,82.10499999999999,6
14,94037,79.85499999999999,0
15,94038,79.85499999999999,0
16,94040,82.25,58
17,94041,81.265,50
18,94043,82.53,66
19,94044,79.85499999999999,8
20,94060,81.695,0
21,94061,81.675,48
22,94062,82.17,8
23,94063,79.11333333333334,56
24,94065,81.60000000000001,2
25,94066,80.58,8
26,94070,82.99000000000001,0
27,94074,81.695,0
28,94080,80.185,18
29,94085,82.91,38
30,94086,81.705,48
31,94087,82.855,52
32,94089,80.4,34
33,94102,73.57,612
34,94103,73.125,616
35,94104,78.87,598
36,94105,78.87,596
37,94107,80.45500000000001,614
38,94108,81.72,598
39,94109,79.75999999999999,602
40,94110,79.11,618
41,94111,78.87,592
42,94112,80.12,410
43,94114,80.09,618
44,94115,78.63499999999999,610
45,94116,79.805,372
46,94117,79.88499999999999,616
47,94118,82.83500000000001,604
48,94121,82.375,510
49,94122,82.505,508
50,94123,82.595,598
51,94124,75.34,540
52,94127,83.61,528
53,94128,80.185,6
54,94129,82.595,588
55,94131,82.205,620
56,94132,81.67,244
57,94133,82.075,590
58,94134,79.94999999999999,466
59,94158,82.54,466
60,94301,83.505,80
61,94303,81.06,90
62,94304,83.54,82
63,94305,83.07,80
64,94306,83.68,92
65,94401,81.50999999999999,2
66,94402,81.69000000000001,2
67,94403,81.475,2
68,94404,83.50999999999999,2
69,94501,79.74000000000001,8
70,94502,83.25999999999999,6
71,94503,79.72,0
72,94505,84.76,0
73,94506,83.245,10
74,94507,82.395,2
75,94508,82.99000000000001,20
76,94509,76.845,0
77,94510,79.228,24
78,94511,76.858,0
79,94512,77.62,0
80,94513,78.54,0
81,94514,79.7125,0
82,94515,82.99000000000001,24
83,94516,86.38,16
84,94517,81.475,0
85,94518,79.86000000000001,4
86,94519,78.81,4
87,94520,76.965,8
88,94521,79.13333333333334,2
89,94523,79.715,10
90,94525,78.77000000000001,14
91,94526,82.275,10
92,94528,85.85,8
93,94530,82.255,0
94,94531,79.02,0
95,94533,78.52,0
96,94534,82.63,0
97,94535,78.74000000000001,0
98,94536,80.91,0
99,94538,79.67500000000001,0
100,94539,83.47,0
101,94541,77.275,0
102,94542,79.35499999999999,0
103,94544,78.25,0
104,94545,78.06,0
105,94546,79.85499999999999,0
106,94547,80.955,4
107,94548,81.09,0
108,94549,82.57,0
109,94550,79.975,0
110,94551,81.74,20
111,94552,82.375,8
112,94553,78.77000000000001,30
113,94555,82.07,0
114,94556,83.08,0
115,94558,78.11,8
116,94559,80.09,4
117,94560,81.015,0
118,94561,76.9325,0
119,94563,84.13,0
120,94564,78.67500000000001,0
121,94565,76.588,0
122,94566,81.755,14
123,94567,82.99000000000001,0
124,94568,80.69999999999999,24
125,94569,78.77000000000001,26
126,94571,76.41250000000001,0
127,94572,80.57666666666667,4
128,94573,80.07,54
129,94574,82.99000000000001,42
130,94575,85.14,16
131,94576,82.99000000000001,32
132,94577,79.365,0
133,94578,78.405,0
134,94579,80.015,0
135,94580,79.615,0
136,94582,85.64,0
137,94583,81.94,22
138,94585,77.39000000000001,0
139,94586,79.975,6
140,94587,80.81,0
141,94588,81.19,20
142,94589,77.57499999999999,0
143,94590,75.08,4
144,94591,79.035,10
145,94592,75.08,0
146,94595,83.66,0
147,94596,82.275,2
148,94597,83.81,16
149,94598,82.69,2
150,94599,78.43666666666667,34
151,94601,76.895,8
152,94602,79.31,6
153,94603,72.805,0
154,94605,75.42,0
155,94606,77.945,8
156,94607,74.34666666666666,10
157,94608,75.205,10
158,94609,75.235,8
159,94610,80.36500000000001,8
160,94611,82.7,2
161,94612,76.105,8
162,94613,80.31,0
163,94618,82.33,2
164,94619,78.97,0
165,94621,73.0,0
166,94702,78.975,2
167,94703,79.43,2
168,94704,81.435,2
169,94705,82.59,2
170,94706,82.005,0
171,94707,83.345,0
172,94708,84.7,0
173,94709,83.38499999999999,0
174,94710,78.975,2
175,94720,81.19,2
176,94801,75.46,0
177,94803,78.3,0
178,94804,75.89500000000001,0
179,94805,79.72,0
180,94806,77.03999999999999,0
181,94850,77.93,16
182,94901,81.59,18
183,94903,81.33,26
184,94904,82.98,18
185,94920,83.9,0
186,94922,81.36500000000001,0
187,94923,81.36500000000001,0
188,94924,81.73,0
189,94925,81.345,10
190,94928,78.645,0
191,94929,81.36500000000001,0
192,94930,82.325,18
193,94931,79.945,0
194,94933,82.325,0
195,94937,81.73,0
196,94938,82.325,0
197,94939,80.88666666666667,16
198,94940,81.73,0
199,94941,82.285,0
200,94945,80.675,14
201,94946,81.73,0
202,94947,80.655,10
203,94949,81.62,18
204,94950,81.73,0
205,94951,79.945,0
206,94952,78.92333333333333,0
207,94954,80.36500000000001,0
208,94956,80.94333333333334,0
209,94957,83.36,26
210,94960,82.09333333333332,18
211,94963,81.10666666666667,2
212,94964,81.36500000000001,12
213,94965,81.17500000000001,34
214,94970,81.73,0
215,94971,81.36500000000001,0
216,94972,81.36500000000001,0
217,94973,82.325,8
218,95002,78.9,12
219,95006,80.36,0
220,95008,80.66999999999999,10
221,95013,82.43,6
222,95014,83.515,28
223,95020,79.8,4
224,95023,78.53,2
225,95030,79.255,0
226,95032,82.82,2
227,95033,78.50333333333333,2
228,95035,82.47,0
229,95037,80.89,6
230,95046,79.8,8
231,95050,80.02000000000001,14
232,95051,81.63499999999999,28
233,95053,80.84,6
234,95054,80.685,18
235,95070,82.92,12
236,95076,79.8,8
237,95110,79.27,24
238,95111,80.0,34
239,95112,79.715,20
240,95113,79.715,24
241,95116,80.60499999999999,24
242,95117,80.88,20
243,95118,80.765,24
244,95119,81.055,14
245,95120,82.885,12
246,95121,81.66499999999999,32
247,95122,80.405,28
248,95123,80.905,20
249,95124,80.66499999999999,8
250,95125,80.955,28
251,95126,80.41,18
252,95127,80.08500000000001,18
253,95128,78.39,22
254,95129,83.175,22
255,95130,81.09,12
256,95131,83.15,12
257,95132,81.155,0
258,95133,82.03999999999999,18
259,95134,78.9,2
260,95135,83.72999999999999,14
261,95136,80.505,34
262,95138,81.465,14
263,95139,81.055,8
264,95140,81.155,2
265,95148,82.06,26
266,95377,81.33,2
267,95391,84.76,2
268,95401,78.61,32
269,95403,79.47,34
270,95404,79.61,24
271,95405,79.975,24
272,95407,77.225,22
273,95409,80.94666666666667,16
274,95412,81.36500000000001,0
275,95419,79.57,2
276,95421,81.36500000000001,0
277,95425,78.91499999999999,4
278,95430,80.84666666666668,2
279,95431,74.445,4
280,95436,79.17333333333333,2
281,95439,79.47,30
282,95441,78.01333333333334,14
283,95442,74.445,4
284,95444,80.985,20
285,95446,76.19,4
286,95448,80.53999999999999,24
287,95450,80.84666666666668,0
288,95452,74.445,4
289,95461,82.34,0
290,95462,76.19,4
291,95465,81.36500000000001,2
292,95471,76.845,4
293,95472,80.985,18
294,95476,79.47666666666667,2
295,95480,79.81,0
296,95486,82.92,4
297,95492,79.94,14
298,95497,81.36500000000001,2
299,95616,79.2,22
300,95618,79.2,22
301,95620,79.34,0
302,95625,78.16499999999999,4
303,95687,78.16499999999999,6
304,95688,78.575,6
305,95690,76.47,0
306,95694,78.575,0
