,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
0,orngTR1j-Fw2V2KuTsTgEA,Del Norte County Historical Society,museums,Museums,41.75419,-124.19935,577 H St,Crescent City,CA,95531
1,WKMeJfWrBA2XwRB4Okc5ZA,Ocean World,aquariums,Aquariums,41.75223,-124.18829,304 US Hwy 101 S,Crescent City,CA,95531
2,2DH_gp0nw7OFzb1Zr44dyw,Battery Point Lighthouse,landmarks,Landmarks & Historical Buildings,41.74612,-124.20185,235 Lighthouse Way,Crescent City,CA,95531
3,6FX0soM1mTxE494hvPlNdQ,Siskiyou Smokejumper Base Museum,museums,Museums,42.1008039,-123.691064,30904 Redwood Hwy,Cave Junction,OR,97523
4,iHH0Epxehy8ZfCbb4sYxJw,Jerry's Rogue River Museum & Gift Shop,souvenirs,Souvenir Shops,42.4212974309921,-124.418466165662,29985 Harbor Way,Gold Beach,OR,97444
5,usEFcvZe-snnwqfcb6peEw,Yurok Country Visitor Center,visitorcenters,Visitor Centers,41.5336113,-124.0413437,101 Klamath Blvd,Klamath,CA,95548
6,CeIImBJzLe4ObnItZtRlag,Kerbyville Museum,museums,Museums,42.1969718933105,-123.649360656738,24195 Redwood Hwy,Kerby,OR,97531
7,tLvl4_XlMBRiUx6U2ciAQQ,Curry County Historical Society Museum,museums,Museums,42.40639,-124.42312,29410 Ellensburg Ave,Gold Beach,OR,97444
8,3TKPrMFwLPtnQyLJSIbemw,Thomas H Kuchel Visitor Center,visitorcenters,Visitor Centers,41.2864493581253,-124.090619087219,Hwy 101,Orick,CA,95555
9,4Eo1IHJ9U5UJEb4SUyy7pg,Holiday Inn Express Klamath - Redwood Ntl Pk Area,hotels,Hotels,41.529547,-124.039168,171 Klamath Blvd,Klamath,CA,95548
10,orngTR1j-Fw2V2KuTsTgEA,Del Norte County Historical Society,museums,Museums,41.75419,-124.19935,577 H St,Crescent City,CA,95531
11,6FX0soM1mTxE494hvPlNdQ,Siskiyou Smokejumper Base Museum,museums,Museums,42.1008039,-123.691064,30904 Redwood Hwy,Cave Junction,OR,97523
12,cZOtTqxB-Va5QbLkRNVwJw,Crater Rock Museum & Gift Shop,museums,Museums,42.3891906738281,-122.924682617188,2002 Scenic Ave,Central Point,OR,97502
13,2DH_gp0nw7OFzb1Zr44dyw,Battery Point Lighthouse,landmarks,Landmarks & Historical Buildings,41.74612,-124.20185,235 Lighthouse Way,Crescent City,CA,95531
14,WKMeJfWrBA2XwRB4Okc5ZA,Ocean World,aquariums,Aquariums,41.75223,-124.18829,304 US Hwy 101 S,Crescent City,CA,95531
15,CeIImBJzLe4ObnItZtRlag,Kerbyville Museum,museums,Museums,42.1969718933105,-123.649360656738,24195 Redwood Hwy,Kerby,OR,97531
16,66r6AIse_4Be2gKmsV35aw,Kid Time Children's Museum,preschools,Preschools,42.32782,-122.87307,106 N Central Ave,Medford,OR,97501
17,psrTlqNDc9PZLC0vle8zGw,Jacksonville  Oregon,historicaltours,Historical Tours,42.31495,-122.96175,,Jacksonville,OR,97530
